year,age,income,satisfaction,information,gender
2000,24,380,8,タグ：会社員余裕はないけれども楽しい暮らしでした。,男性
2001,25,390,8,タグ：会社員余裕はないけれども楽しい暮らしでした。,男性
2002,26,400,9,タグ：会社員余裕はないけれども楽しい暮らしでした。,男性
2003,27,410,9,タグ：会社員余裕はないけれども楽しい暮らしでした。,男性
2004,28,420,8,タグ：会社員余裕はないけれども楽しい暮らしでした。,男性
2005,29,430,8,タグ：会社員余裕はないけれども楽しい暮らしでした。,男性
2006,30,440,8,タグ：会社員子供誕生,男性
2007,31,420,7,タグ：会社員子供：1歳仕事に加えて子育ての日々で体力的にきつかったです。,男性
2008,32,420,8,タグ：会社員子供：2歳仕事に加えて子育ての日々で体力的にきつかったです。,男性
2009,33,430,9,タグ：会社員子供：3歳仕事に加えて子育ての日々で体力的にきつかったです。,男性
2010,34,440,8,タグ：会社員子供：4歳仕事に加えて子育ての日々で体力的にきつかったです。,男性
2011,35,450,8,タグ：会社員子供：5歳仕事に加えて子育ての日々で体力的にきつかったです。,男性
2012,36,460,7,タグ：会社員子供：6歳仕事に加えて子育ての日々で体力的にきつかったです。,男性
2013,37,470,6,タグ：会社員子供：7歳仕事に加えて子育ての日々で体力的にきつかったです。,男性
2014,38,480,3,離婚しました。,男性
2015,39,490,3,タグ：シングルファザー子供：9歳とにかく時間と体力が続きません。毎日が綱渡りのようです。,男性
2016,40,500,4,タグ：シングルファザー子供：10歳とにかく時間と体力が続きません。毎日が綱渡りのようです。,男性
2017,41,510,3,タグ：シングルファザー子供：11歳とにかく時間と体力が続きません。毎日が綱渡りのようです。,男性
2018,42,520,4,タグ：シングルファザー子供：12歳とにかく時間と体力が続きません。毎日が綱渡りのようです。,男性
2019,43,530,4,タグ：シングルファザー子供：13歳とにかく時間と体力が続きません。毎日が綱渡りのようです。,男性
2020,44,540,3,タグ：シングルファザー子供：14歳とにかく時間と体力が続きません。毎日が綱渡りのようです。,男性
2021,45,550,2,タグ：シングルファザー子供：15歳とにかく時間と体力が続きません。毎日が綱渡りのようです。,男性
